cq,group,gold_rows,shift_verdict,shift_blocker,shift_rows,shift_matched,shift_constraint_not_enforced,saref_verdict,saref_blocker,saref_rows,saref_matched,saref_constraint_not_enforced,saref_ext_verdict,saref_ext_blocker,saref_ext_rows,saref_ext_matched,saref_ext_constraint_not_enforced,seas_verdict,seas_blocker,seas_rows,seas_matched,seas_constraint_not_enforced
CQ-11,C,3,ANSWERABLE,,3,True,,NOT-EXPRESSIBLE,No model of a commitment against which delivery is measured.,,,,PARTIAL,s4ener power profiles express a commitment and Core observations express the measured value. Still missing: a delivery-event class binding a commitment to its measured outcome so the pair can be compared per event.,,,,PARTIAL,Committed and measured values are both expressible as evaluations. Missing: a delivery-event class binding the pair so the two can be compared per event.,,,
CQ-12,C,6,ANSWERABLE,,6,True,,NOT-EXPRESSIBLE,No contract class.,,,,NOT-EXPRESSIBLE,"s4ener:ContractualPowerLimit is a power limit, not a contract. No contract class, no end date, no governed-service relation.",,,,PARTIAL,seas:Contract exists and seas:player links it to an actor. Missing: a contract end-date property and any contract-governs-service relation.,,,
CQ-13,C,1,ANSWERABLE,,1,True,,NOT-EXPRESSIBLE,"No contract class, no trade class, no penalty term.",,,,NOT-EXPRESSIBLE,"No contract class and no trade class, so no path from a trade to a penalty rate. s4ener has no penalty term.",,,,PARTIAL,seas:Contract exists. Missing: a trade-to-contract association and any penalty-rate property.,,,
CQ-14,D,1,ANSWERABLE,,1,True,,NOT-EXPRESSIBLE,"No trade class, no community, no trust relation.",,,,NOT-EXPRESSIBLE,"Neither extension adds an agent class. s4ener:Role is a DEVICE role codelist (EnergyConsumer / EnergyProducer / EnergyStorage) and s4ener:hasRole has domain saref:Device, so it cannot carry an actor. No trade class, no community, no trust relation.",,,,NOT-EXPRESSIBLE,"No trade class carrying its parties, no community class, no trust relation.",,,
CQ-15,D,178,ANSWERABLE,,178,True,,NOT-EXPRESSIBLE,"No trade class, no community, no consent term.",,,,NOT-EXPRESSIBLE,"Neither extension adds an agent class. s4ener:Role is a DEVICE role codelist (EnergyConsumer / EnergyProducer / EnergyStorage) and s4ener:hasRole has domain saref:Device, so it cannot carry an actor. No trade class, no community, no consent term.",,,,NOT-EXPRESSIBLE,"No trade class carrying its parties, no community class, no consent term.",,,
CQ-16,D,197,ANSWERABLE,,197,True,,NOT-EXPRESSIBLE,No trade class and no delivery window.,,,,NOT-EXPRESSIBLE,"s4ener:FlexOffer/FlexRequest describe offers, not concluded trades with a status and a delivery window.",,,,NOT-EXPRESSIBLE,seas:Transaction has no status property and there is no delivery-window term.,,,
CQ-17,D,30,ANSWERABLE,,30,True,,NOT-EXPRESSIBLE,No trade class and no market clearing window.,,,,PARTIAL,s4ener:FlexOffer/FlexRequest with hasEnergy and Slot timing express traded energy per slot. Still missing: a market-clearing-window class and any trade-to-window link.,,,,PARTIAL,"seas:Transaction, seas:Clearing and seas:Market give the market frame. Missing: a traded-volume property and any window-to-transaction link.",,,
CQ-18,E,3,ANSWERABLE,,3,True,,NOT-EXPRESSIBLE,No agent class; saref:Profile carries a price via profileHasPrice but no tariff structure.,,,,NOT-EXPRESSIBLE,"Neither extension adds an agent class. s4ener:Role is a DEVICE role codelist (EnergyConsumer / EnergyProducer / EnergyStorage) and s4ener:hasRole has domain saref:Device, so it cannot carry an actor. s4ener:Incentive and IncentiveTableTier give tariff structure, but with no actor there is no consumption to threshold.",,,,PARTIAL,"seas:Price/PricePerEnergy/BasePrice and seas:Profile express a tariff price. Missing: flat-versus-dynamic structural flags, and an actor-level consumption property (nominalEnergyConsumption is on systems).",,,
CQ-19,E,1,ANSWERABLE,,1,True,,NOT-EXPRESSIBLE,"No tariff-structure flags, so there is nothing that can contradict.",,,,PARTIAL,"s4ener:IncentiveTableProfile, IncentiveTableTier and IncentiveType give real tariff structure, which Core lacked entirely. Still missing: flat-versus-dynamic flags, so there is still nothing that can contradict.",,,,NOT-EXPRESSIBLE,"No tariff-structure flags, so there is nothing that can contradict.",,,
CQ-20,E,3,ANSWERABLE,,3,True,,NOT-EXPRESSIBLE,"No forecast class, no node, no DER-capacity property.",,,,PARTIAL,s4ener:hasDemandRateForecast and hasUsageForecast supply the forecast Core lacked. Still missing: a grid-node term and any DER-capacity property.,,,,PARTIAL,"seas:NetworkNode/ElectricPowerSystem give the node and SEAS has forecasting classes. Missing: forecasting is weather-specific (WeatherForecast, WeatherForecasting) with no load-forecast value bound to a node, and no DER-capacity property.",,,
CQ-21,F,1,NOT-EXPRESSIBLE,See cq/shift/cq21.rq -- blocking term named in the query header.,0,False,,NOT-EXPRESSIBLE,"No electrical connectivity model; saref:consistsOf is mereological composition, not connection.",,,,NOT-EXPRESSIBLE,"s4bldg:contains is spatial containment, not electrical connection. Neither extension adds a connectivity or conducting-equipment model.",,,,ANSWERABLE,,1,True,
CQ-22,F,3,NOT-EXPRESSIBLE,See cq/shift/cq22.rq -- blocking term named in the query header.,0,False,,PARTIAL,"saref:Function/Command/hasCommand return the commands. Missing: any ordering, step or successor property, so the sequence the question asks for cannot be expressed.",3,False,,ANSWERABLE,,3,True,,PARTIAL,seas:ControlActivity/ActuatingActivity/OnOffActivity express the control act. Missing: a Command class for the individual instruction and any ordering property.,,,
CQ-23,F,1,NOT-EXPRESSIBLE,See cq/shift/cq23.rq -- blocking term named in the query header.,0,False,,ANSWERABLE,,1,True,,ANSWERABLE,,1,True,,ANSWERABLE,,1,True,
CQ-24,F,3,NOT-EXPRESSIBLE,See cq/shift/cq24.rq -- blocking term named in the query header.,0,False,,NOT-EXPRESSIBLE,No agent class and no activity taxonomy.,,,,NOT-EXPRESSIBLE,"Neither extension adds an agent class. s4ener:Role is a DEVICE role codelist (EnergyConsumer / EnergyProducer / EnergyStorage) and s4ener:hasRole has domain saref:Device, so it cannot carry an actor. No activity taxonomy in either extension.",,,,PARTIAL,"SEAS is the only one of the three with the activity taxonomy (seas:Activity, ForecastingActivity, PlanningActivity, OptimizationActivity). Missing: any agency property -- no property has domain seas:Actor or range seas:Activity, so the link can only be the untyped transitive seas:contains -- and no way to say 'currently', since seas:temporalContext has domain TimeContextualizedEvaluation.",3,True,"Rows match, but seas:contains asserts containment, not performance, and 'currently' is unenforceable."
CQ-25,G,3,ANSWERABLE,,3,True,,NOT-EXPRESSIBLE,"No agent class, no community, no trade class.",,,,NOT-EXPRESSIBLE,"Neither extension adds an agent class. s4ener:Role is a DEVICE role codelist (EnergyConsumer / EnergyProducer / EnergyStorage) and s4ener:hasRole has domain saref:Device, so it cannot carry an actor. No community class and no trade class.",,,,NOT-EXPRESSIBLE,"No trade class carrying its parties, and no community class to average over.",,,
CQ-26,G,1,ANSWERABLE,,1,True,,NOT-EXPRESSIBLE,No trade class and no replacement relation.,,,,NOT-EXPRESSIBLE,No trade class and no replacement or backup relation.,,,,NOT-EXPRESSIBLE,No trade class and no backup or replacement relation.,,,
